time_s,current_mA
164.0,0.027484
165.0,0.02743
166.0,0.027731
167.0,0.027674
168.0,0.027977
169.0,0.027917
170.0,0.028221
171.0,0.028727
172.0,0.028462
173.0,0.028972
174.0,0.029281
175.0,0.029215
176.0,0.029145
177.0,0.029455
178.0,0.029382
179.0,0.029694
180.0,0.030218
181.0,0.02993
182.0,0.030458
183.0,0.030774
184.0,0.030695
185.0,0.031013
186.0,0.030931
187.0,0.03125
188.0,0.031165
189.0,0.031485
190.0,0.031396
191.0,0.031717
192.0,0.032266
193.0,0.031948
194.0,0.0325
195.0,0.032176
196.0,0.032731
197.0,0.033059
198.0,0.032961
199.0,0.03329
200.0,0.033189
201.0,0.033519
202.0,0.033414
203.0,0.033745
204.0,0.034318
205.0,0.03397
206.0,0.034546
207.0,0.034192
208.0,0.034771
209.0,0.035109
210.0,0.034995
211.0,0.034878
212.0,0.035217
213.0,0.035807
214.0,0.035436
215.0,0.03603
216.0,0.035654
217.0,0.036251
218.0,0.036596
219.0,0.036469
220.0,0.036816
221.0,0.036686
222.0,0.037033
223.0,0.036901
224.0,0.037249
225.0,0.037863
226.0,0.037463
227.0,0.03808
228.0,0.037674
229.0,0.038295
230.0,0.03865
231.0,0.038508
232.0,0.038864
233.0,0.038718
234.0,0.039076
235.0,0.038927
236.0,0.039285
237.0,0.039133
238.0,0.039493
239.0,0.040134
240.0,0.039698
241.0,0.040343
242.0,0.040708
243.0,0.04055
244.0,0.040916
245.0,0.040755
246.0,0.041122
247.0,0.040958
248.0,0.041617
249.0,0.041158
250.0,0.041821
251.0,0.042193
252.0,0.042023
253.0,0.042396
254.0,0.042222
255.0,0.042597
256.0,0.04242
257.0,0.042796
258.0,0.042616
259.0,0.042992
260.0,0.043676
261.0,0.043187
262.0,0.043874
263.0,0.044256
264.0,0.04407
265.0,0.044453
266.0,0.044263
267.0,0.044648
268.0,0.044455
269.0,0.044841
270.0,0.044645
271.0,0.045031
272.0,0.045739
273.0,0.04522
274.0,0.045931
275.0,0.045406
276.0,0.046121
277.0,0.046514
278.0,0.046308
279.0,0.046703
280.0,0.046494
281.0,0.04689
282.0,0.046678
283.0,0.047406
284.0,0.047806
285.0,0.047591
286.0,0.047992
287.0,0.047774
288.0,0.048176
289.0,0.047955
290.0,0.048358
291.0,0.048133
292.0,0.048537
293.0,0.049287
294.0,0.048715
295.0,0.049468
296.0,0.04889
297.0,0.049647
298.0,0.050057
299.0,0.049823
300.0,0.050235
301.0,0.049832
302.0,0.050077
303.0,0.049674
304.0,0.049919
305.0,0.049516
306.0,0.049761
307.0,0.050358
308.0,0.049603
309.0,0.0502
310.0,0.050445
311.0,0.050042
312.0,0.050287
313.0,0.049884
314.0,0.050129
315.0,0.049726
316.0,0.049971
317.0,0.049568
318.0,0.049813
319.0,0.05041
320.0,0.050007
321.0,0.050252
322.0,0.049849
323.0,0.050094
324.0,0.049691
325.0,0.049936
326.0,0.049533
327.0,0.049778
328.0,0.050375
329.0,0.04962
330.0,0.050217
331.0,0.050462
332.0,0.050059
333.0,0.050304
334.0,0.049901
335.0,0.050146
336.0,0.049743
337.0,0.049988
338.0,0.049585
339.0,0.04983
340.0,0.050427
341.0,0.049672
342.0,0.050269
343.0,0.049514
344.0,0.050111
345.0,0.050356
346.0,0.049953
347.0,0.050198
348.0,0.049795
349.0,0.05004
350.0,0.049637
351.0,0.049882
352.0,0.050479
353.0,0.049724
354.0,0.050321
355.0,0.049918
356.0,0.050163
357.0,0.04976
358.0,0.050005
359.0,0.049602
360.0,0.049847
361.0,0.050444
362.0,0.049689
363.0,0.050286
364.0,0.049531
365.0,0.050128
366.0,0.050373
367.0,0.04997
368.0,0.050215
369.0,0.049812
370.0,0.050057
371.0,0.049654
372.0,0.049899
373.0,0.050496
374.0,0.049741
375.0,0.050338
376.0,0.049583
377.0,0.05018
378.0,0.050425
379.0,0.050022
380.0,0.050267
381.0,0.049864
382.0,0.050109
383.0,0.049706
384.0,0.049951
385.0,0.049548
386.0,0.049793
387.0,0.05039
388.0,0.049635
389.0,0.050232
390.0,0.050477
391.0,0.050074
392.0,0.049671
393.0,0.049916
394.0,0.049513
395.0,0.049758
396.0,0.050355
397.0,0.0496
398.0,0.050197
399.0,0.050442
400.0,0.050039
401.0,0.050284
402.0,0.049881
403.0,0.050126
404.0,0.049723
405.0,0.049968
406.0,0.049565
407.0,0.04981
408.0,0.050407
409.0,0.049652
410.0,0.050249
411.0,0.050494
412.0,0.050091
413.0,0.050336
414.0,0.049933
415.0,0.050178
416.0,0.049775
417.0,0.05002
418.0,0.049617
419.0,0.049862
420.0,0.050459
421.0,0.049704
422.0,0.050301
423.0,0.049546
424.0,0.050143
425.0,0.050388
426.0,0.049985
427.0,0.049582
428.0,0.049827
429.0,0.050424
430.0,0.049669
431.0,0.050266
432.0,0.049511
433.0,0.050108
434.0,0.050353
435.0,0.04995
436.0,0.050195
437.0,0.049792
438.0,0.050037
439.0,0.049634
440.0,0.049879
441.0,0.050476
442.0,0.049721
443.0,0.050318
444.0,0.049563
445.0,0.05016
446.0,0.050405
447.0,0.050002
448.0,0.050247
449.0,0.049844
450.0,0.050089
451.0,0.049686
452.0,0.049931
453.0,0.049528
454.0,0.049773
455.0,0.05037
456.0,0.049615
457.0,0.050212
458.0,0.050457
459.0,0.050054
460.0,0.050299
461.0,0.049896
462.0,0.050141
463.0,0.049738
464.0,0.050335
465.0,0.04958
466.0,0.050177
467.0,0.050422
468.0,0.050019
469.0,0.050264
470.0,0.049861
471.0,0.050106
472.0,0.049703
473.0,0.049948
474.0,0.049545
475.0,0.04979
476.0,0.050387
477.0,0.049632
478.0,0.050229
479.0,0.050474
480.0,0.050071
481.0,0.050316
482.0,0.049913
483.0,0.050158
484.0,0.049755
485.0,0.05
486.0,0.049597
487.0,0.049842
488.0,0.050439
489.0,0.049684
490.0,0.050281
491.0,0.049526
492.0,0.050123
493.0,0.050368
494.0,0.049965
495.0,0.05021
496.0,0.049807
497.0,0.050052
498.0,0.049649
499.0,0.050246
500.0,0.050491
501.0,0.050088
502.0,0.050333
503.0,0.04993
504.0,0.050175
505.0,0.049772
506.0,0.050017
507.0,0.049614
508.0,0.049859
509.0,0.050456
510.0,0.049701
511.0,0.050298
512.0,0.049543
513.0,0.05014
514.0,0.050385
515.0,0.049982
516.0,0.050227
517.0,0.049824
518.0,0.050069
519.0,0.049666
520.0,0.049911
521.0,0.049508
522.0,0.049753
523.0,0.05035
524.0,0.049595
525.0,0.050192
526.0,0.050437
527.0,0.050034
528.0,0.050279
529.0,0.049876
530.0,0.050121
531.0,0.049718
532.0,0.049963
533.0,0.04956
534.0,0.049805
535.0,0.050402
536.0,0.049999
537.0,0.050244
538.0,0.049841
539.0,0.050086
540.0,0.049683
541.0,0.049928
542.0,0.049525
543.0,0.04977
544.0,0.050367
545.0,0.049612
546.0,0.050209
547.0,0.050454
548.0,0.050051
549.0,0.050296
550.0,0.049893
551.0,0.050138
552.0,0.049735
553.0,0.04998
554.0,0.049577
555.0,0.049822
556.0,0.050419
557.0,0.049664
558.0,0.050261
559.0,0.049506
560.0,0.050103
561.0,0.050348
562.0,0.049945
563.0,0.05019
564.0,0.049787
565.0,0.050032
566.0,0.049629
567.0,0.049874
568.0,0.050471
569.0,0.049716
570.0,0.050313
571.0,0.049558
572.0,0.050155
573.0,0.049752
574.0,0.049997
575.0,0.049594
576.0,0.049839
577.0,0.050436
578.0,0.049681
579.0,0.050278
580.0,0.049523
581.0,0.05012
582.0,0.050365
583.0,0.049962
584.0,0.050207
585.0,0.049804
586.0,0.050049
587.0,0.049646
588.0,0.049891
589.0,0.050488
590.0,0.049733
591.0,0.05033
592.0,0.049575
593.0,0.050172
594.0,0.050417
595.0,0.050014
596.0,0.050259
597.0,0.049856
598.0,0.050101
599.0,0.049698
600.0,0.049943
601.0,0.04954
602.0,0.049785
603.0,0.050382
604.0,0.049627
605.0,0.050224
606.0,0.050469
607.0,0.050066
608.0,0.049663
609.0,0.049908
610.0,0.049505
611.0,0.04975
612.0,0.050347
613.0,0.049592
614.0,0.050189
615.0,0.050434
616.0,0.050031
617.0,0.050276
618.0,0.049873
619.0,0.050118
620.0,0.049715
621.0,0.04996
622.0,0.049557
623.0,0.049802
624.0,0.050399
625.0,0.049644
626.0,0.050241
627.0,0.050486
628.0,0.050083
629.0,0.050328
630.0,0.049925
631.0,0.05017
632.0,0.049767
633.0,0.050012
634.0,0.049609
635.0,0.049854
636.0,0.050451
637.0,0.049696
638.0,0.050293
639.0,0.049538
640.0,0.050135
641.0,0.05038
642.0,0.049977
643.0,0.050222
644.0,0.049819
645.0,0.050416
646.0,0.049661
647.0,0.050258
648.0,0.049503
649.0,0.0501
650.0,0.050345
651.0,0.049942
652.0,0.050187
653.0,0.049784
654.0,0.050029
655.0,0.049626
656.0,0.049871
657.0,0.050468
658.0,0.049713
659.0,0.05031
660.0,0.049555
661.0,0.050152
662.0,0.050397
663.0,0.049994
664.0,0.050239
665.0,0.049836
666.0,0.050081
667.0,0.049678
668.0,0.049923
669.0,0.04952
670.0,0.049765
671.0,0.050362
672.0,0.049607
673.0,0.050204
674.0,0.050449
675.0,0.050046
676.0,0.050291
677.0,0.049888
678.0,0.050133
679.0,0.04973
680.0,0.050327
681.0,0.049572
682.0,0.050169
683.0,0.050414
684.0,0.050011
685.0,0.050256
686.0,0.049853
687.0,0.050098
688.0,0.049695
689.0,0.04994
690.0,0.049537
691.0,0.049782
692.0,0.050379
693.0,0.049624
694.0,0.050221
695.0,0.050466
696.0,0.050063
697.0,0.050308
698.0,0.049905
699.0,0.05015
700.0,0.049747
701.0,0.049992
702.0,0.049589
703.0,0.049834
704.0,0.050431
705.0,0.049676
706.0,0.050273
707.0,0.049518
708.0,0.050115
709.0,0.05036
710.0,0.049957
711.0,0.050202
712.0,0.049799
713.0,0.050044
714.0,0.049641
715.0,0.049886
716.0,0.050483
717.0,0.05008
718.0,0.050325
719.0,0.049922
720.0,0.050167
721.0,0.049764
722.0,0.050009
723.0,0.049606
724.0,0.049851
725.0,0.050448
726.0,0.049693
727.0,0.05029
728.0,0.049535
729.0,0.050132
730.0,0.050377
731.0,0.049974
732.0,0.050219
733.0,0.049816
734.0,0.050061
735.0,0.049658
736.0,0.049903
737.0,0.0495
738.0,0.049745
739.0,0.050342
740.0,0.049587
741.0,0.050184
742.0,0.050429
743.0,0.050026
744.0,0.050271
745.0,0.049868
746.0,0.050113
747.0,0.04971
748.0,0.049955
749.0,0.049552
750.0,0.049797
751.0,0.050394
752.0,0.049991
753.0,0.050236
754.0,0.049833
755.0,0.050078
756.0,0.049675
757.0,0.04992
758.0,0.049517
759.0,0.049762
760.0,0.050359
761.0,0.049604
762.0,0.050201
763.0,0.050446
764.0,0.050043
765.0,0.050288
766.0,0.049885
767.0,0.05013
768.0,0.049727
769.0,0.049972
770.0,0.049569
771.0,0.049814
772.0,0.050411
773.0,0.049656
774.0,0.050253
775.0,0.050498
776.0,0.050095
777.0,0.05034
778.0,0.049937
779.0,0.050182
780.0,0.049779
781.0,0.050024
782.0,0.049621
783.0,0.049866
784.0,0.050463
785.0,0.049708
786.0,0.050305
787.0,0.04955
788.0,0.050147
789.0,0.049744
790.0,0.049989
791.0,0.049586
792.0,0.049831
793.0,0.050428
794.0,0.049673
795.0,0.05027
796.0,0.049515
797.0,0.050112
798.0,0.050357
799.0,0.049954
800.0,0.050199
801.0,0.049796
802.0,0.050041
803.0,0.049638
804.0,0.049883
805.0,0.05048
806.0,0.049725
807.0,0.050322
808.0,0.049567
809.0,0.050164
810.0,0.050409
811.0,0.050006
812.0,0.050251
813.0,0.049848
814.0,0.050093
815.0,0.04969
816.0,0.049935
817.0,0.049532
818.0,0.049777
819.0,0.050374
820.0,0.049619
821.0,0.050216
822.0,0.050461
823.0,0.050058
824.0,0.049655
825.0,0.0499
826.0,0.050497
827.0,0.049742
828.0,0.050339
829.0,0.049584
830.0,0.050181
831.0,0.050426
832.0,0.050023
833.0,0.050268
834.0,0.049865
835.0,0.05011
836.0,0.049707
837.0,0.049952
838.0,0.049549
839.0,0.049794
840.0,0.050391
841.0,0.049636
842.0,0.050233
843.0,0.050478
844.0,0.050075
845.0,0.05032
846.0,0.049917
847.0,0.050162
848.0,0.049759
849.0,0.050004
850.0,0.049601
851.0,0.049846
852.0,0.050443
853.0,0.049688
854.0,0.050285
855.0,0.04953
856.0,0.050127
857.0,0.050372
858.0,0.049969
859.0,0.050214
860.0,0.049811
861.0,0.050408
862.0,0.049653
863.0,0.05025
864.0,0.050495
865.0,0.050092
866.0,0.050337
867.0,0.049934
868.0,0.050179
869.0,0.049776
870.0,0.050021
871.0,0.049618
872.0,0.049863
873.0,0.05046
874.0,0.049705
875.0,0.050302
876.0,0.049547
877.0,0.050144
878.0,0.050389
879.0,0.049986
880.0,0.050231
881.0,0.049828
882.0,0.050073
883.0,0.04967
884.0,0.049915
885.0,0.049512
886.0,0.049757
887.0,0.050354
888.0,0.049599
889.0,0.050196
890.0,0.050441
891.0,0.050038
892.0,0.050283
893.0,0.04988
894.0,0.050125
895.0,0.049722
896.0,0.050319
897.0,0.049564
898.0,0.050161
899.0,0.050406
900.0,0.050003
901.0,0.050248
902.0,0.049845
903.0,0.05009
904.0,0.049687
905.0,0.049932
906.0,0.049529
907.0,0.049774
908.0,0.050371
909.0,0.049616
910.0,0.050213
911.0,0.050458
912.0,0.050055
913.0,0.0503
914.0,0.049897
915.0,0.050142
916.0,0.049739
917.0,0.049984
918.0,0.049581
919.0,0.049826
920.0,0.050423
921.0,0.049668
922.0,0.050265
923.0,0.04951
924.0,0.050107
925.0,0.050352
926.0,0.049949
927.0,0.050194
928.0,0.049791
929.0,0.050036
930.0,0.049633
931.0,0.049878
932.0,0.050475
933.0,0.050072
934.0,0.050317
935.0,0.049914
936.0,0.050159
937.0,0.049756
938.0,0.050001
939.0,0.049598
940.0,0.049843
941.0,0.05044
942.0,0.049685
943.0,0.050282
944.0,0.049527
945.0,0.050124
946.0,0.050369
947.0,0.049966
948.0,0.050211
949.0,0.049808
950.0,0.050053
951.0,0.04965
952.0,0.049895
953.0,0.050492
954.0,0.049737
955.0,0.050334
956.0,0.049579
957.0,0.050176
958.0,0.050421
959.0,0.050018
960.0,0.050263
961.0,0.04986
962.0,0.050105
963.0,0.049702
964.0,0.049947
965.0,0.049544
966.0,0.049789
967.0,0.050386
968.0,0.049983
969.0,0.050228
970.0,0.049825
971.0,0.05007
972.0,0.049667
973.0,0.049912
974.0,0.049509
975.0,0.049754
976.0,0.050351
977.0,0.049596
978.0,0.050193
979.0,0.050438
980.0,0.050035
981.0,0.05028
982.0,0.049877
983.0,0.050122
984.0,0.049719
985.0,0.049964
986.0,0.049561
987.0,0.049806
988.0,0.050403
989.0,0.049648
990.0,0.050245
991.0,0.05049
992.0,0.050087
993.0,0.050332
994.0,0.049929
995.0,0.050174
996.0,0.049771
997.0,0.050016
998.0,0.049613
999.0,0.049858
1000.0,0.050455
1001.0,0.0497
1002.0,0.050297
1003.0,0.049542
1004.0,0.050139
1005.0,0.049736
1006.0,0.049981
1007.0,0.049578
1008.0,0.049823
1009.0,0.05042
1010.0,0.049665
1011.0,0.050262
1012.0,0.049507
1013.0,0.050104
1014.0,0.050349
1015.0,0.049946
1016.0,0.050191
1017.0,0.049788
1018.0,0.050033
1019.0,0.04963
1020.0,0.049875
1021.0,0.050472
1022.0,0.049717
1023.0,0.050314
1024.0,0.049559
1025.0,0.050156
1026.0,0.050401
1027.0,0.049998
1028.0,0.050243
1029.0,0.04984
1030.0,0.050085
1031.0,0.049682
1032.0,0.049927
1033.0,0.049524
1034.0,0.049769
1035.0,0.050366
1036.0,0.049611
1037.0,0.050208
1038.0,0.050453
1039.0,0.05005
1040.0,0.049647
1041.0,0.049892
1042.0,0.050489
1043.0,0.049734
1044.0,0.050331
1045.0,0.049576
1046.0,0.050173
1047.0,0.050418
1048.0,0.050015
1049.0,0.05026
1050.0,0.049857
1051.0,0.050102
1052.0,0.049699
1053.0,0.049944
1054.0,0.049541
1055.0,0.049786
1056.0,0.050383
1057.0,0.049628
1058.0,0.050225
1059.0,0.05047
1060.0,0.050067
1061.0,0.050312
1062.0,0.049909
1063.0,0.050154
1064.0,0.049751
1065.0,0.049996
1066.0,0.049593
1067.0,0.049838
1068.0,0.050435
1069.0,0.04968
1070.0,0.050277
1071.0,0.049522
1072.0,0.050119
1073.0,0.050364
1074.0,0.049961
1075.0,0.050206
1076.0,0.049803
1077.0,0.0504
1078.0,0.049645
1079.0,0.050242
1080.0,0.050487
1081.0,0.050084
1082.0,0.050329
1083.0,0.049926
1084.0,0.050171
1085.0,0.049768
1086.0,0.050013
1087.0,0.04961
1088.0,0.049855
1089.0,0.050452
1090.0,0.049697
1091.0,0.050294
1092.0,0.049539
1093.0,0.050136
1094.0,0.050381
1095.0,0.049978
1096.0,0.050223
1097.0,0.04982
1098.0,0.050065
1099.0,0.049662
1100.0,0.049907
1101.0,0.049504
1102.0,0.049749
1103.0,0.050346
1104.0,0.049591
1105.0,0.050188
1106.0,0.050433
1107.0,0.05003
1108.0,0.050275
1109.0,0.049872
1110.0,0.050117
1111.0,0.049714
1112.0,0.049959
1113.0,0.049556
1114.0,0.050153
1115.0,0.050398
1116.0,0.049995
1117.0,0.05024
1118.0,0.049837
1119.0,0.050082
1120.0,0.049679
1121.0,0.049924
1122.0,0.049521
1123.0,0.049766
1124.0,0.050363
1125.0,0.049608
1126.0,0.050205
1127.0,0.05045
1128.0,0.050047
1129.0,0.050292
1130.0,0.049889
1131.0,0.050134
1132.0,0.049731
1133.0,0.049976
1134.0,0.049573
1135.0,0.049818
1136.0,0.050415
1137.0,0.04966
1138.0,0.050257
1139.0,0.049502
1140.0,0.050099
1141.0,0.050344
1142.0,0.049941
1143.0,0.050186
1144.0,0.049783
1145.0,0.050028
1146.0,0.049625
1147.0,0.04987
1148.0,0.050467
1149.0,0.050064
1150.0,0.050309
1151.0,0.049906
1152.0,0.050151
1153.0,0.049748
1154.0,0.049993
1155.0,0.04959
1156.0,0.049835
1157.0,0.050432
1158.0,0.049677
1159.0,0.050274
1160.0,0.049519
1161.0,0.050116
1162.0,0.050361
1163.0,0.049958
1164.0,0.050203
1165.0,0.0498
1166.0,0.050045
1167.0,0.049642
1168.0,0.049887
1169.0,0.050484
1170.0,0.049729
1171.0,0.050326
1172.0,0.049571
1173.0,0.050168
1174.0,0.050413
1175.0,0.05001
1176.0,0.050255
1177.0,0.049852
1178.0,0.050097
1179.0,0.049694
1180.0,0.049939
1181.0,0.049536
1182.0,0.049781
1183.0,0.050378
1184.0,0.049623
1185.0,0.05022
1186.0,0.049817
1187.0,0.050062
1188.0,0.049659
1189.0,0.049904
1190.0,0.049501
1191.0,0.049746
1192.0,0.050343
1193.0,0.049588
1194.0,0.050185
1195.0,0.05043
1196.0,0.050027
1197.0,0.050272
1198.0,0.049869
1199.0,0.050114
1200.0,0.049711
1201.0,0.049956
1202.0,0.049553
1203.0,0.049798
1204.0,0.050395
1205.0,0.04964
1206.0,0.050237
1207.0,0.050482
1208.0,0.050079
1209.0,0.050324
1210.0,0.049921
1211.0,0.050166
1212.0,0.049763
1213.0,0.050008
1214.0,0.049605
1215.0,0.04985
1216.0,0.050447
1217.0,0.049692
1218.0,0.050289
1219.0,0.049534
1220.0,0.050131
1221.0,0.049728
1222.0,0.049973
1223.0,0.04957
1224.0,0.049815
1225.0,0.050412
1226.0,0.049657
1227.0,0.050254
1228.0,0.050499
1229.0,0.050096
1230.0,0.050341
1231.0,0.049938
1232.0,0.050183
1233.0,0.04978
1234.0,0.050025
1235.0,0.049622
1236.0,0.049867
1237.0,0.050464
1238.0,0.049709
1239.0,0.050306
1240.0,0.049551
1241.0,0.050148
1242.0,0.050393
1243.0,0.04999
1244.0,0.050235
1245.0,0.049832
1246.0,0.050077
1247.0,0.049674
1248.0,0.049919
1249.0,0.049516
1250.0,0.049761
1251.0,0.050358
1252.0,0.049603
1253.0,0.0502
1254.0,0.050445
1255.0,0.050042
1256.0,0.050287
1257.0,0.049884
1258.0,0.050481
1259.0,0.049726
1260.0,0.050323
1261.0,0.049568
1262.0,0.050165
1263.0,0.05041
1264.0,0.050007
1265.0,0.050252
1266.0,0.049849
1267.0,0.050094
1268.0,0.049691
1269.0,0.049936
1270.0,0.049533
1271.0,0.049778
1272.0,0.050375
1273.0,0.04962
1274.0,0.050217
1275.0,0.050462
1276.0,0.050059
1277.0,0.050304
1278.0,0.049901
1279.0,0.050146
1280.0,0.049743
1281.0,0.049988
1282.0,0.049585
1283.0,0.04983
1284.0,0.050427
1285.0,0.049672
1286.0,0.050269
1287.0,0.049514
1288.0,0.050111
1289.0,0.050356
1290.0,0.049953
1291.0,0.050198
1292.0,0.049795
1293.0,0.050392
1294.0,0.049637
1295.0,0.050234
1296.0,0.050479
1297.0,0.050076
1298.0,0.050321
1299.0,0.049918
1300.0,0.050163
1301.0,0.04976
1302.0,0.050005
1303.0,0.049602
1304.0,0.049847
1305.0,0.050444
1306.0,0.049689
1307.0,0.050286
1308.0,0.049531
1309.0,0.050128
1310.0,0.050373
1311.0,0.04997
1312.0,0.050215
1313.0,0.049812
1314.0,0.050057
1315.0,0.049654
1316.0,0.049899
1317.0,0.050496
1318.0,0.049741
1319.0,0.050338
1320.0,0.049583
1321.0,0.05018
1322.0,0.050425
1323.0,0.050022
1324.0,0.050267
1325.0,0.049864
1326.0,0.050109
1327.0,0.049706
1328.0,0.049951
1329.0,0.049548
1330.0,0.050145
1331.0,0.05039
1332.0,0.049987
1333.0,0.050232
1334.0,0.049829
1335.0,0.050074
1336.0,0.049671
1337.0,0.049916
1338.0,0.049513
1339.0,0.049758
1340.0,0.050355
1341.0,0.0496
1342.0,0.050197
1343.0,0.050442
1344.0,0.050039
1345.0,0.050284
1346.0,0.049881
1347.0,0.050126
1348.0,0.049723
1349.0,0.049968
1350.0,0.049565
1351.0,0.04981
1352.0,0.050407
1353.0,0.049652
1354.0,0.050249
1355.0,0.050494
1356.0,0.050091
1357.0,0.050336
1358.0,0.049933
1359.0,0.050178
1360.0,0.049775
1361.0,0.05002
1362.0,0.049617
1363.0,0.049862
1364.0,0.050459
1365.0,0.050056
1366.0,0.050301
1367.0,0.049898
1368.0,0.050143
1369.0,0.04974
1370.0,0.049985
1371.0,0.049582
1372.0,0.049827
1373.0,0.050424
1374.0,0.049669
1375.0,0.050266
1376.0,0.049511
1377.0,0.050108
1378.0,0.050353
1379.0,0.04995
1380.0,0.050195
1381.0,0.049792
1382.0,0.050037
1383.0,0.049634
1384.0,0.049879
1385.0,0.050476
1386.0,0.049721
1387.0,0.050318
1388.0,0.049563
1389.0,0.05016
1390.0,0.050405
1391.0,0.050002
1392.0,0.050247
1393.0,0.049844
1394.0,0.050089
1395.0,0.049686
1396.0,0.049931
1397.0,0.049528
1398.0,0.049773
1399.0,0.05037
1400.0,0.049615
1401.0,0.050212
1402.0,0.049809
1403.0,0.050054
1404.0,0.049651
1405.0,0.049896
1406.0,0.050493
1407.0,0.049738
1408.0,0.050335
1409.0,0.04958
1410.0,0.050177
1411.0,0.050422
1412.0,0.050019
1413.0,0.050264
1414.0,0.049861
1415.0,0.050106
1416.0,0.049703
1417.0,0.049948
1418.0,0.049545
1419.0,0.04979
1420.0,0.050387
1421.0,0.049632
1422.0,0.050229
1423.0,0.050474
1424.0,0.050071
1425.0,0.050316
1426.0,0.049913
1427.0,0.050158
1428.0,0.049755
1429.0,0.05
1430.0,0.049597
1431.0,0.049842
1432.0,0.050439
1433.0,0.049684
1434.0,0.050281
1435.0,0.049526
1436.0,0.050123
1437.0,0.04972
1438.0,0.049965
1439.0,0.049562
1440.0,0.049807
1441.0,0.050404
1442.0,0.049649
1443.0,0.050246
1444.0,0.050491
1445.0,0.050088
1446.0,0.050333
1447.0,0.04993
1448.0,0.050175
1449.0,0.049772
1450.0,0.050017
1451.0,0.049614
1452.0,0.049859
1453.0,0.050456
1454.0,0.049701
1455.0,0.050298
1456.0,0.049543
1457.0,0.05014
1458.0,0.050385
1459.0,0.049982
1460.0,0.050227
1461.0,0.049824
1462.0,0.050069
1463.0,0.049666
1464.0,0.049911
1465.0,0.049508
1466.0,0.049753
1467.0,0.05035
1468.0,0.049595
1469.0,0.050192
1470.0,0.050437
1471.0,0.050034
1472.0,0.050279
1473.0,0.049876
1474.0,0.050473
1475.0,0.049718
1476.0,0.050315
1477.0,0.04956
1478.0,0.050157
1479.0,0.050402
1480.0,0.049999
1481.0,0.050244
1482.0,0.049841
1483.0,0.050086
1484.0,0.049683
1485.0,0.049928
1486.0,0.049525
1487.0,0.04977
1488.0,0.050367
1489.0,0.049612
1490.0,0.050209
1491.0,0.050454
1492.0,0.050051
1493.0,0.050296
1494.0,0.049893
1495.0,0.050138
1496.0,0.049735
1497.0,0.04998
